checking for RDTSCP instruction...Success.  Using RDTSCP for time
RDTSCP Timing Probe: 2432922545 ticks per second
=== WatchVrf - member-level position telemetry (UNIT_MOVEMENT_RESEARCH plan R3) ===
    federation=CWIX-2024 appNumber=3429 duration=120s sample=15s

[..] bridge.Start() - joining the federation...
Using MAK Technologies' RTI version 4.6.1 HLA 1516-2010 for Microsoft Visual C++ version 14.0 Release Mode.
Connected to RTI Assistant.
Loading Config File: C:\MAK\makRti4.6.1\rid.mtl
INFO[Util] 00:44:08.933 T:47064 MAK::DtInitializer::loadConfigScript: Loading config file: vrfLegion.lua
[OK] joined; discovering + sampling (CSV lines: POS,t,uuid,lat,lon,alt)...
POS,48.1,VRF_UUID:43dd00f6-7e49-6641-9361-062bd5ad56f8,90.000000,-90.000000,0.0
POS,48.1,VRF_UUID:4d26983a-5bb7-894c-8059-69960f416ff1,34.646435,-116.693660,1116.8
POS,48.1,VRF_UUID:5160d482-48b4-3841-aa2c-a81381a72a92,34.645263,-116.693115,1116.4
POS,48.1,VRF_UUID:52486da8-f5eb-f84c-805f-4467b528a7f6,34.647524,-116.693478,1116.7
POS,48.1,VRF_UUID:558a672b-8d2c-b549-9b4f-8a4f82c269c1,34.647697,-116.693360,1116.6
POS,48.1,VRF_UUID:55b1c7ff-6c65-9748-afdc-261cc3eef455,34.612978,-116.588028,1026.9
POS,48.1,VRF_UUID:5ed253f8-2a3d-974c-a58a-9842bd6fae14,34.647629,-116.693469,1116.7
POS,48.1,VRF_UUID:669a5f90-511e-6244-99c4-208edfc2928c,34.647606,-116.693360,1116.6
POS,48.1,VRF_UUID:7eeb7916-a4e8-f042-9bc0-03e3addc4e6d,34.647652,-116.693415,1116.7
POS,48.1,VRF_UUID:7ff3b1e2-b217-9543-85f5-cf12957281ec,34.647629,-116.693388,1116.7
POS,48.1,VRF_UUID:80394db1-7230-e947-80ce-56a4b8906899,34.650536,-116.693115,1116.5
POS,48.1,VRF_UUID:84bc8def-5ce9-dc4d-8cfc-f582a8c47235,34.646660,-116.693388,1116.6
POS,48.1,VRF_UUID:86f4ea9a-a65a-1447-985f-2435e5695a88,34.647659,-116.693424,1116.7
POS,48.1,VRF_UUID:873e96aa-bc17-2041-891a-e82e6a38bc49,34.648733,-116.693513,1116.8
POS,48.1,VRF_UUID:88c85e63-5457-f744-bb58-15753f765ad7,34.648733,-116.693494,1116.8
POS,48.1,VRF_UUID:8f7113c1-f713-c948-9e07-ed52c065aab5,34.647569,-116.693424,1116.7
POS,48.1,VRF_UUID:98cda973-7256-484d-8702-74e0cb82a703,34.612933,-116.587865,1026.7
POS,48.1,VRF_UUID:9eeaea19-69df-5347-bec6-e6b3d1d289ea,34.647595,-116.693449,1116.7
POS,48.1,VRF_UUID:a2869891-3b7e-7a42-92d8-2455788c84d1,34.647561,-116.693415,1116.7
POS,48.1,VRF_UUID:a50d79bd-efe3-274f-b7c0-175a0c15580e,34.645984,-116.693115,1116.4
POS,48.1,VRF_UUID:a9b9ad73-6ec0-1844-8d16-e023a442d713,34.648733,-116.693567,1116.8
POS,48.1,VRF_UUID:ae89d276-223c-7f4c-8bd7-41500422add9,34.647336,-116.693660,1116.8
POS,48.1,VRF_UUID:af11a263-df20-3145-bf43-da2fba250fbe,34.650085,-116.692570,1116.1
POS,48.1,VRF_UUID:b4052a19-bc5d-c748-bf6d-400a75979ed4,34.648733,-116.693589,1116.8
POS,48.1,VRF_UUID:b4b7b3f6-c84c-1d46-8fcc-2a036eeec5e6,34.643911,-116.693660,1116.8
POS,48.1,VRF_UUID:bfc5a610-a0cb-0444-a4d1-30c765d9f084,90.000000,-90.000000,0.0
POS,48.1,VRF_UUID:cee4d309-f6bb-8c4c-9144-70431d7f65a5,34.648733,-116.693628,1116.9
POS,48.1,VRF_UUID:d46987fb-fc5c-6d4f-a992-85841b4dac61,34.647606,-116.693360,1116.6
POS,48.1,VRF_UUID:d4950982-1d8a-0544-bdfa-822cab6d1360,34.608416,-116.712685,1131.4
POS,48.1,VRF_UUID:db574541-2c56-d545-9612-2376bb9e688b,34.650986,-116.693660,1116.9
POS,48.1,VRF_UUID:dc83c0e3-ae6e-2247-abfb-05971478a5e4,34.648733,-116.693205,1116.5
POS,48.1,VRF_UUID:e5ffc481-876e-7e48-9e65-05f73182b1b6,90.000000,-90.000000,0.0
POS,48.1,VRF_UUID:e72a1aba-4e46-0e42-b5dc-0245066632b7,34.647652,-116.693415,1116.7
POS,48.1,VRF_UUID:eac7a5bd-aecc-e149-99e0-569a01d6b1a5,34.612956,-116.587947,1026.8
POS,48.1,VRF_UUID:f4bfd9f7-240d-d44d-8a21-fa5f0f4fcd69,34.647561,-116.693415,1116.7
POS,48.1,VRF_UUID:f4f1a505-e396-7f48-ba14-02f4e6599b42,34.644587,-116.693388,1116.6
POS,48.1,VRF_UUID:f9f8526c-a39c-1547-9b8e-026be67b3a79,34.612933,-116.587974,1026.8
POS,48.1,VRF_UUID:fb9d0f7b-dbf8-c14b-8d4a-71700f838b66,34.646885,-116.693115,1116.4
POS,48.1,VRF_UUID:fe5fbf8d-8e1b-744c-bf98-a401b86a1cfb,34.647629,-116.693388,1116.7
POS,48.1,VRF_UUID:fe72ffd3-b55b-ed45-96ba-43191763f2b2,34.647629,-116.693414,1116.7
# t=48.1s reflected=52 readable=47
POS,63.2,VRF_UUID:030aa0d4-8df1-3249-b804-fd2a37e48aab,34.650536,-116.693388,1116.7
POS,63.2,VRF_UUID:049374b9-9fdd-0c41-ac4b-dcbfe77efbd7,34.644813,-116.693660,1116.8
POS,63.2,VRF_UUID:1a4096f4-5f89-2348-a762-eb83eba802ef,34.648733,-116.693460,1116.7
POS,63.2,VRF_UUID:1cd929d2-40ba-894e-a089-cec98c976101,34.647697,-116.693360,1116.6
POS,63.2,VRF_UUID:1cd9c717-18fb-4446-bbf3-2c65fdb95949,34.650536,-116.694206,1117.3
POS,63.2,VRF_UUID:27aa6e2c-f19a-f34c-82f4-55e888da8cec,34.612978,-116.587919,1026.8
POS,63.2,VRF_UUID:3490fc74-770f-e34d-9004-89451be99545,34.644362,-116.693115,1116.4
POS,63.2,VRF_UUID:43dd00f6-7e49-6641-9361-062bd5ad56f8,90.000000,-90.000000,0.0
POS,63.2,VRF_UUID:4d26983a-5bb7-894c-8059-69960f416ff1,34.646435,-116.693660,1116.8
POS,63.2,VRF_UUID:5160d482-48b4-3841-aa2c-a81381a72a92,34.645263,-116.693115,1116.4
POS,63.2,VRF_UUID:52486da8-f5eb-f84c-805f-4467b528a7f6,34.647524,-116.693478,1116.7
POS,63.2,VRF_UUID:558a672b-8d2c-b549-9b4f-8a4f82c269c1,34.647697,-116.693360,1116.6
POS,63.2,VRF_UUID:55b1c7ff-6c65-9748-afdc-261cc3eef455,34.612978,-116.588028,1026.9
POS,63.2,VRF_UUID:5ed253f8-2a3d-974c-a58a-9842bd6fae14,34.647629,-116.693469,1116.7
POS,63.2,VRF_UUID:669a5f90-511e-6244-99c4-208edfc2928c,34.647606,-116.693360,1116.6
POS,63.2,VRF_UUID:7eeb7916-a4e8-f042-9bc0-03e3addc4e6d,34.647652,-116.693415,1116.7
POS,63.2,VRF_UUID:7ff3b1e2-b217-9543-85f5-cf12957281ec,34.647629,-116.693388,1116.7
POS,63.2,VRF_UUID:80394db1-7230-e947-80ce-56a4b8906899,34.650536,-116.693115,1116.5
POS,63.2,VRF_UUID:84bc8def-5ce9-dc4d-8cfc-f582a8c47235,34.646660,-116.693388,1116.6
POS,63.2,VRF_UUID:86f4ea9a-a65a-1447-985f-2435e5695a88,34.647659,-116.693424,1116.7
POS,63.2,VRF_UUID:873e96aa-bc17-2041-891a-e82e6a38bc49,34.648733,-116.693513,1116.8
POS,63.2,VRF_UUID:88c85e63-5457-f744-bb58-15753f765ad7,34.648733,-116.693494,1116.8
POS,63.2,VRF_UUID:8f7113c1-f713-c948-9e07-ed52c065aab5,34.647569,-116.693424,1116.7
POS,63.2,VRF_UUID:98cda973-7256-484d-8702-74e0cb82a703,34.612933,-116.587865,1026.7
POS,63.2,VRF_UUID:9eeaea19-69df-5347-bec6-e6b3d1d289ea,34.647595,-116.693449,1116.7
POS,63.2,VRF_UUID:a2869891-3b7e-7a42-92d8-2455788c84d1,34.647561,-116.693415,1116.7
POS,63.2,VRF_UUID:a50d79bd-efe3-274f-b7c0-175a0c15580e,34.645984,-116.693115,1116.4
POS,63.2,VRF_UUID:a9b9ad73-6ec0-1844-8d16-e023a442d713,34.648733,-116.693567,1116.8
POS,63.2,VRF_UUID:ae89d276-223c-7f4c-8bd7-41500422add9,34.647336,-116.693660,1116.8
